entidade,cnpj,VL_PL,maior_sacado,top5,top10,top25,n_posicoes,dc_tot,pct_maior_sacado,pct_top5,pct_top10,inconsistente_viii_vs_i
FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS CLUBCARD VAREJO - RESPONSABILIDADE LIMITADA,26142862000142,2470380152.66,537557306.84,597764483.82,651894751.1600001,766009488.3,24,2058076183.62,0.2611940758648096,0.2904481809650883,0.3167495724154228,False
PROUST FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,52714676000140,1021260.7,518334844.24,518334844.24,518334844.24,518334844.24,1,16381.64,31641.205901240657,31641.205901240657,31641.205901240657,True
PLATINUM FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,50440392000188,529145471.21,516824993.62,516824993.62,516824993.62,516824993.62,1,516824993.62,1.0,1.0,1.0,False
ATENA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SEGMENTO INFRAESTRUTURA DE RESP LIMITADA,65411764000115,511741022.82,510286080.21,510286080.21,510286080.21,510286080.21,1,510286080.21,1.0,1.0,1.0,False
POLONIA FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NÃO PADRONIZADO - FIDC NP,32156017000129,501158913.76,501489076.11,501489076.11,501489076.11,501489076.11,1,501489076.11,1.0,1.0,1.0,False
QISTO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,63991902000157,470008161.88,497713995.02,888502469.3100001,1129027327.47,1366703421.6299999,24,443833405.33,1.1213982297027385,2.001882820535734,2.5438088118458393,True
BTG PACTUAL ATLAS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,59595605000115,1239913416.4,496558451.99,506007249.73,506007249.73,506007249.73,2,515445580.37,0.963357667425449,0.9816889871609241,0.9816889871609241,False
FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS TURBI I DE RESPONSABILIDADE LIMITADA,49936440000144,590453123.13,490665472.47,578376873.11,578376873.11,578376873.11,2,578376873.11,0.8483490528098651,1.0,1.0,False
JC DIVERSIFICADO III FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NAO-PADRONIZADOS,29109350000172,495886949.95,484574646.7,484574646.7,484574646.7,484574646.7,1,484574646.7,1.0,1.0,1.0,False
BLC II FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,28153046000160,677089997.05,467466131.61,467466131.61,467466131.61,467466131.61,1,467466132.61,0.9999999978608076,0.9999999978608076,0.9999999978608076,False
VLBM FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,48903717000170,454418489.95,454274736.67,454274736.67,454274736.67,454274736.67,1,454274736.67,1.0,1.0,1.0,False
VVMB FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,08661352000108,454435894.87,454274736.67,454274736.67,454274736.67,454274736.67,1,454274736.67,1.0,1.0,1.0,False
VNMB FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,48904297000146,454418402.05,454274736.67,454274736.67,454274736.67,454274736.67,1,454274736.67,1.0,1.0,1.0,False
ARC DIP JS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADO,52363951000129,484118379.9,451335118.57,496074813.75,496074813.75,496074813.75,4,496074813.75,0.9098126049944014,1.0,1.0,False
HAWKER FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,45521676000169,407886725.37,447528922.31,447528922.31,447528922.31,447528922.31,1,408704157.3,1.0949947885690372,1.0949947885690372,1.0949947885690372,True
AMAZONITA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,36246327000195,812145748.68,444417368.7,812194560.79,812194560.79,812194560.79,2,812194560.79,0.5471809221028605,1.0,1.0,False
PFC FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS RESPONSABILIDADE LIMITADA,50312715000158,400067890.1,389221848.43,391637626.38000005,391637626.38000005,391637626.38000005,3,391637626.38,0.9938315989392296,1.0000000000000002,1.0000000000000002,False
RED FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS REAL LP DE RESPONSABILIDADE LIMITADA,17250006000110,3394314559.41,389014996.74,785509384.3399999,1015999180.3299999,1424936766.4,25,2792767884.17,0.1392937089204654,0.2812655461960994,0.3637964995547602,False
FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS ALTERNATIVE ASSETS I RESPONSABILIDADE LIMITADA,24194675000187,3030582055.52,377465794.98,1339361744.68,1606566178.8899999,1697204155.7,25,1061780528.25,0.3555026532668947,1.261429936832146,1.5130868726118964,True
LF III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,31739396000117,1385981646.72,373587987.89,1003561442.9200001,1205825317.58,1289314703.98,25,1292132432.54,0.28912515349190804,0.7766707325403608,0.9332056739800715,False
FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS RECUPERA,16686142000194,351598442.64,369548508.56,369548508.56,369548508.56,369548508.56,1,369548508.56,1.0,1.0,1.0,False
