DENOM_SOCIAL,CNPJ,VL_PL,v_sub,v_tot,indice_subordinacao
SAPPHIRE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,47227790000106,1425902192.06,1425902192.059938,1425902192.059938,1.0
FUNDO DE INVESTIMENTOS EM DIREITOS CREDITÓRIOS PICPAY FGTS II DE RESPONSABILIDADE LIMITADA,65839682000176,1420614297.06,148124314.96942985,1420606312.2909636,0.10426837730331832
ANGICO FIDC SEGMENTO INFRAESTRUTURA E AGRONEGÓCIO DE RESPONSABILIDADE LIMITADA,57325251000163,1391099575.18,0.0,1391099575.1206875,0.0
IFOOD I FIDC SEGMENTO MEIOS DE PAGAMENTO DE RESPONSABILIDADA,52327260000170,1389238751.96,183451372.97981617,1389238751.9639356,0.13205172452933311
LF III FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA,31739396000117,1385981646.72,110921515.81657636,1385981646.865284,0.08003101344628254
BLC FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,18048642000126,1385172155.96,,1385172155.9611995,
LASSIE EDUCATION CRÉDITOS JUDICIAIS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,45207707000101,1380228129.74,572764977.78,1380228129.729426,0.41497848467432874
GONN FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,47669805000196,1370830378.37,1048146913.3885456,1370856866.578546,0.7645925252609076
OURO PRETO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,14171578000115,1348920016.15,,1348920017.2223492,
ÁSIA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,62681110000113,1337788554.49,0.0,1337788554.4864976,0.0
SOLIS CAPITAL ANTARES FIC DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,13054728000148,1318888006.56,,1318888007.2096257,
JIVE BOSSANOVA MASTER HIGH YIELD - FIDC DE RESPONSABILIDADE ILIMITADA,43690506000182,1318645748.87,1318645748.873898,1318645748.873898,1.0
COBUCCIO MASTER FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS DE CLASSE ÚNICA FECHADA,29242769000106,1308355355.32,1090211409.5522842,1308355355.3208048,0.833268580373539
LAGUZ I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,41240321000140,1302594039.08,0.0,1302594039.0755668,0.0
G5 CRPR III FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,38251371000119,1299287705.83,,1299287707.592273,
GOLDEN BRIDGE FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NAO PADRONIZADOS,46879223000171,1299037542.35,0.0,1299037542.3481753,0.0
MULTIAGRO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,32388135000162,1284578705.45,644268317.4486852,1284578705.4538922,0.5015405554469625
FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS SIFRA STAR,14166140000149,1277114152.59,519720316.7799913,1277114152.589824,0.4069489917765496
RED PERFORMANCE FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NP DE RESPONSABILIDADE LIMITADA,11489344000122,1271673604.01,677658376.9942826,1271673603.8359587,0.532887035596359
FUNDO DE LIQUIDAÇÃO FINANCEIRA FIDC - RESPONSABILIDADE LIMITADA,19221032000145,1266715166.56,0.0,1266715161.7400682,0.0
ARTESANAL RECEBÍVEIS IMOBILIÁRIOS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE L,37284201000178,1250317417.94,714853364.1787167,1250317417.9332356,0.5717375075525728
