CNPJ,DENOM_SOCIAL,TP_FUNDO_CLASSE,VL_PL,cnpj_admin,ADMIN,dc_total,situacao_registro
42432319000136,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS BIZCAPITAL FINPASS PME RESPONSABILIDADE LIMITADA,Classe,1500027.16,02671743000119,BANVOX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,115692.09,Em Liquidação
54503197000100,GANDRIA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO-PADRONIZADOS,Classe,1468055.06,34829992000186,CBSF DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,0.0,Em Funcionamento Normal
55132551000109,GUINNESS FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Classe,1313980.12,02671743000119,BANVOX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,0.0,Em Funcionamento Normal
55135135000156,ATENA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RECUPERAÇÃO DE CRÉDITO,Classe,1310319.32,02671743000119,BANVOX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,0.0,Em Funcionamento Normal
57968717000149,SAYURI FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTOS EM DIREITOS CREDITÓRIOS,Classe,1309951.56,02671743000119,BANVOX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,0.0,Em Funcionamento Normal
62348002000123,AMAZON FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO - PADRONIZADOS - RESPONSABILIDADE LIMITADA,Classe,1238779.99,62264924000152,QORE DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,0.0,Em Funcionamento Normal
66605002000112,AURORA CAPITAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE ILIMITADA,Classe,1179332.43,00806535000154,PLANNER CORRETORA DE VALORES S.A.,0.0,Em Funcionamento Normal
28849649000109,FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS EMPÍRICA A55 SAAS,Classe,1106525.84,02671743000119,BANVOX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,728536.32,Em Liquidação
50908218000117,CF PRIME FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Classe,826537.97,00806535000154,PLANNER CORRETORA DE VALORES S.A.,742777.96,Em Liquidação
57993612000140,D&C JUDICIAIS II - FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RECUPERAÇÃO DE  CRÉDITO,Classe,775518.43,02671743000119,BANVOX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,0.0,Em Funcionamento Normal
55102194000128,NEW ERA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,Classe,754024.0,44782130000107,ACTUAL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,833967.14,Em Funcionamento Normal
44271111000108,GUARDIAN CAPITAL CONSIG I FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS CONSIGNADOS,Classe,485307.98,02671743000119,BANVOX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA,912110.44,Em Funcionamento Normal
