DENOM_SOCIAL,CNPJ,VL_PL,dc,inad_pct,pr_max,red_flag,roll_12m,dc_medio,razao_rolagem,n_cot,COTST_INTERESSE,subord,DT_COMPTC,pl_ant,var,pl_12m,crescimento
"NEGOCIAL FIDC SEGMENTO ECONÔMICO FINANCEIRO, INDUSTRIAL, COMERCIAL E PRESTAÇÃO DE SERVIÇOS",12764483000180,172692886.08,,,,RF2 recompras/substituições > 15% da carteira (12m),93728942.87,146788259.6341667,0.638531603982472,,,,,,,,
VENDA DE VEÍCULOS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,21126275000146,4242510733.6,,,,RF2 recompras/substituições > 15% da carteira (12m),1779317579.5900002,2907678538.245833,0.6119375151640528,,,,,,,,
BRASFOR FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS MULTISEGMENTOS,18862277000199,168125075.96,,,,RF2 recompras/substituições > 15% da carteira (12m),83791205.84,141373580.86583337,0.5926935239726275,,,,,,,,
RAIZES FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS MULTISSETORIAL,17498285000135,264450503.64,,,,RF2 recompras/substituições > 15% da carteira (12m),129655689.85000001,219168529.83333337,0.5915798675503122,,,,,,,,
LINK BANK FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NÃO PADRONIZADOS,29970181000160,130565440.27,,,,RF2 recompras/substituições > 15% da carteira (12m),65358080.980000004,112670034.50833333,0.5800839705535545,,,,,,,,
CREDVALE FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS MULTISSETORIAL,28194817000167,323246669.37,,,,RF2 recompras/substituições > 15% da carteira (12m),156307954.82999998,273760416.4941667,0.570966236944378,,,,,,,,
SIGMA CREDIT FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,29236426000120,137273357.35,,,,RF2 recompras/substituições > 15% da carteira (12m),68777898.13,121043993.71166666,0.5682057904817043,,,,,,,,
MAKENA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,45938235000167,643719944.74,,,,RF2 recompras/substituições > 15% da carteira (12m),307584130.08000004,542206352.1274999,0.5672824172441114,,,,,,,,
CONFIANÇA FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,22175369000178,202437121.53,,,,RF2 recompras/substituições > 15% da carteira (12m),113852155.03999999,201490054.5958333,0.5650509910693845,,,,,,,,
BIO-STARS  FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO  PADRONIZADO,46230862000101,118101092.88,,,,RF2 recompras/substituições > 15% da carteira (12m),59571035.839999996,106037122.65916665,0.561794156103973,,,,,,,,
CREDIT PARTNERS FUNDO DE INVESTIMENTO EM DIREITO CREDITÓRIOS,32274874000123,140936265.13,,,,RF2 recompras/substituições > 15% da carteira (12m),77751696.0,142184922.79833332,0.5468350263148394,,,,,,,,
LARCA MULTIPLICA CAPITAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,41114564000132,186148756.93,,,,RF2 recompras/substituições > 15% da carteira (12m),125666324.94,235062684.97500002,0.5346077151861223,,,,,,,,
FINANZI FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS NÃO PADRONIZADOS,32316940000180,183539705.5,,,,RF2 recompras/substituições > 15% da carteira (12m),78205825.0,146622874.55750003,0.5333807922946606,,,,,,,,
MULTIPLIX MULTISSETORIAL FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS - RESPONSABILIDADE LIMITADA,14770038000158,232485585.75,,,,RF2 recompras/substituições > 15% da carteira (12m),117674489.37,222168436.06749997,0.5296634006742873,,,,,,,,
MP FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,15675220000192,671805123.57,,,,RF2 recompras/substituições > 15% da carteira (12m),284414958.67,544971868.0416666,0.5218892485075113,,,,,,,,
